,12/11/20,9/30/20,6/30/20,3/31/20,12/31/19,9/30/19
Market Cap (intraday) (B),8.73,10.4,8.36,4.12,4.66,9
Enterprise Value (B),8.58,10.24,8.16,3.87,4.37,8.76
Trailing P/E,600.19,638.69,N/A,N/A,N/A,N/A
Forward P/E,526.32,294.12,714.29,133.33,285.71,1000
PEG Ratio (5 yr expected),4.31,3.07,8.02,N/A,N/A,N/A
Price/Sales (ttm),21.42,25.53,23.36,9.45,19.83,54.11
Price/Book (mrq),23.01,26.67,21.34,10.73,12.35,27.13
Enterprise Value/Revenue,21.27,108.45,72,39.92,44.41,95.21
Enterprise Value/EBITDA,-614.57,-677.35,-1290,759.49,1820,1250
